"Id";"Name";"Visible Src Name";"Market State";"Market Type";"Quotes Delay";"Flags";
"5";"INT Stream";"RZBM";"Open";"Book";"0";"";
"8";"FOK Quote";"RZBM";"Open";"Bands";"0";"";
"11";"MCX Stream";"RZBM";"Closed";"Book";"0";"";
"15";"EBS Stream";"RZBM";"Closed";"Bands";"0";"";
"23";"MEIN Stream";"RZBM";"Open";"Book";"0";"";
"24";"SWAP Stream";"SWAP Stream";"Open";"Bands";"0";"";
"25";"Clients narrow";"RZBM";"Open";"Bands";"0";"";
"30";"Clients wide";"RZBM";"Open";"Bands";"200";"";
"33";"PSBF Stream";"RZBM";"Open";"Book";"0";"";
"34";"Novm.int";"RZBM";"Open";"Book";"0";"";
"35";"MABM Stream";"RZBM";"Open";"Book";"0";"";
"36";"ALFN Stream";"RZBM";"Open";"Book";"0";"";
"39";"Traders";"RZBM";"Open";"Book";"100";"";
"40";"Viena Traders";"RZBM";"Open";"Book";"1000";"";
"41";"Corporates 360t";"RZBM";"Open";"Bands";"0";"";
"42";"TSLS Hedge";"RZBM";"Open";"Bands";"500";"";
"43";"Corporates BBG";"RZBM";"Open";"Bands";"0";"";
"44";"Ronin";"RZBM";"Open";"Book";"0";"";
"46";"MDM Stream";"RZBM";"Open";"Book";"0";"";
"47";"VEST Stream";"RZBM";"Open";"Book";"0";"";
"48";"Corporates 360t Margin";"RZBM";"Open";"Book";"0";"";
"49";"Corporates BBG Margin";"RZBM";"Open";"Book";"0";"";
"50";"OFCB Stream";"RZBM";"Open";"Book";"0";"";
"51";"Clients narrow Crazy";"RZBM";"Open";"Bands";"0";"";
"52";"Novm.trd";"RZBM";"Open";"Bands";"0";"";
"53";"Clients far";"RZBM";"Open";"Bands";"500";"";
"56";"Clients middle Crazy";"RZBM";"Open";"Bands";"0";"";
"57";"Corporates Manual";"RZBM";"Open";"Book";"0";"";
"58";"Position Keeping";"RZBM";"Open";"Book";"0";"";
"59";"EBS Margin";"RZBM";"Open";"Book";"0";"";
"60";"EBS Direct FA";"RZBM";"Open";"Bands";"0";"";
"61";"EBS Direct Narrow";"RZBM";"Open";"Book";"0";"";
"62";"EBS Direct Toxic";"RZBM";"Open";"Book";"0";"";
