"Id";"Name";"Account Name";"Login";"Password";"Pass Is Reset";"Dealer OPICS Id";"Dealer OPICS Name";"Flags";"Market State";"IB Is On";"IB Commission (pts)";"IB Password";"IP Filter On";"IP Filter";"Ext info";"Group For Hedge";"Don't check in PK";
"41";"360T";"360T";"360T";"";"";"";"";"";"Open";"No";"0";"";"No";"";"";"Corporates 360t";"No";
"147";"ablv.bbg";"ABLV";"ablv.bbg";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"444";"abso1";"ABSO";"abso1";"";"No";"";"";"";"Open";"No";"0";"";"No";"";"";"Clients narrow";"No";
"375";"acba1";"ACBA";"acba1";"";"No";"";"";"";"Indicative";"No";"0";"";"No";"";"";"Clients narrow";"No";
"183";"acbk.bbg";"ACBK";"acbk.bbg";"";"No";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0:enabled";"FOK Quote";"No";
"132";"accb1";"ACCB";"accb1";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"193.232.48.0/24;192.168.203.2;192.168.205.2";"";"Clients narrow";"No";
"365";"adev.bbg";"ADEV";"adev.bbg";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0:enabled";"FOK Quote";"No";
"180";"adev1";"ADEV";"adev1";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"81.89.214.0/24;192.168.203.1;192.168.205.1";"";"Clients narrow";"No";
"364";"adev2";"ADEV";"adev2";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"81.89.214.0/24;192.168.203.0/24;192.168.205.0/24";"";"Clients narrow";"No";
"397";"aeib1";"AEIB";"aeib1";"";"Yes";"";"";"";"Indicative";"No";"0";"";"No";"";"";"Clients narrow";"No";
"178";"agbn1";"TCBM";"agbn1";"";"No";"";"";"Deleted";"Indicative";"No";"0";"";"No";"91.212.137.0/24";"";" Not Set ";"No";
"353";"agbu1";"AGBU";"agbu1";"";"Yes";"";"";"";"Indicative";"No";"0";"";"No";"";"";"Clients narrow";"No";
"394";"agib1";"AGIB";"agib1";"";"Yes";"";"";"";"Indicative";"No";"0";"";"No";"";"";"Clients narrow";"No";
"254";"agrm.bbg";"AGRM";"agrm.bbg";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"327";"agrm1";"AGRM";"agrm1";"";"No";"";"";"";"Open";"No";"0";"";"No";"";"";"Clients narrow";"No";
"328";"agrm2";"AGRM";"agrm2";"";"Yes";"";"";"";"Indicative";"No";"0";"";"No";"";"";"Clients narrow";"No";
"329";"agrm3";"AGRM";"agrm3";"";"Yes";"";"";"";"Indicative";"No";"0";"";"No";"";"";"Clients narrow";"No";
"315";"agsb.bbg";"AGSB";"agsb.bbg";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"246";"agsb1";"AGSB";"agsb1";"";"Yes";"";"";"";"Open";"No";"0";"";"Yes";"195.91.128.0/17;192.168.203.4;192.168.205.4;94.79.58.0/24";"Agrosoyuz Bank";"Clients narrow";"No";
"302";"agsb2";"AGSB";"agsb2";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"195.91.131.0/17;195.91.128.0/17;192.168.203.4;192.168.205.4;94.79.58.0/24";"Agrosoyuz Bank";"Clients narrow";"No";
"306";"agsb3";"AGSB";"agsb3";"";"No";"";"";"Deleted";"Indicative";"No";"0";"";"No";"";"";"Clients narrow";"No";
"271";"aizx.stp";"AIZX";"aizx.stp";"";"Yes";"";"";"";"Indicative";"No";"0";"";"Yes";"195.35.107.0/24;192.168.203.6;192.168.205.6";"ABLV Bank";"Clients narrow";"No";
"141";"aizx1";"AIZX";"aizx1";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"195.35.107.0/24;192.168.203.6;192.168.205.6";"ABLV Bank";"Clients narrow";"No";
"243";"aizx2";"AIZX";"aizx2";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"195.35.107.0/24;192.168.203.6;192.168.205.6";"ABLV Bank";"Clients narrow";"No";
"244";"aizx3";"AIZX";"aizx3";"";"Yes";"";"";"";"Open";"No";"0";"";"Yes";"195.35.107.0/24;192.168.203.6;192.168.205.6";"ABLV Bank";"Clients narrow";"No";
"245";"aizx4";"AIZX";"aizx4";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"195.35.107.0/24;192.168.203.6;192.168.205.6";"ABLV Bank";"Clients narrow";"No";
"259";"aizx5";"AIZX";"aizx5";"";"No";"";"";"";"Indicative";"No";"0";"";"Yes";"195.35.107.0/24;192.168.203.6;192.168.205.6";"ABLV Bank";"Clients narrow";"No";
"289";"akba.bbg";"AKBA";"akba.bbg";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"210";"akba.stp";"AKBA";"akba.stp";"";"Yes";"";"";"";"Indicative";"No";"0";"";"Yes";"81.23.146.0/24;192.168.203.7;192.168.205.7";"";" Not Set ";"No";
"212";"akba.wlb";"AKBA";"akba.wlb";"";"No";"";"";"";"Indicative";"No";"0";"";"No";"81.23.146.0/24";"";" Not Set ";"No";
"196";"akba1";"AKBA";"akba1";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"81.23.146.34;192.168.203.8;192.168.205.8";"АкБарс.Создан 12.09.2014.";"Clients narrow";"No";
"65";"alcy.bbg";"ALCY";"alcy.bbg";"";"";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"215";"alfb.bbg";"ALFB";"alfb.bbg";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"72";"alfn.bbg";"ALFN";"alfn.bbg";"";"";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"424";"alfn.ebs";"ALFN EBS";"alfn.ebs";"";"No";"";"";"No Better Prices, Own Deals, Own STP Deals, Exclude My Deals, Exclude My STP Deals, Don't validate";"Open";"No";"0";"";"No";"";"";"EBS Margin";"No";
"427";"alfn.ebsd";"ALFN";"alfn.ebsd";"";"No";"";"";"No Better Prices, Own Deals, Own STP Deals, Exclude My Deals, Exclude My STP Deals";"Open";"No";"0";"";"No";"";"EBSD1: alias = ALFN";"FOK Quote";"No";
"53";"alfn.fxp";"ALFN";"alfn.fxp";"";"";"";"";"No Better Prices, Own Deals, Own STP Deals, Exclude My Deals, Exclude My STP Deals, Don't validate";"Open";"No";"0";"";"No";"";"";"ALFN Stream";"No";
"404";"alfn.soft";"ALFN";"alfn.soft";"";"No";"";"";"No Better Prices, Own Deals, Own STP Deals, Exclude My Deals, Exclude My STP Deals";"Open";"No";"0";"";"No";"";"";"FOK Quote";"No";
"417";"alta.bbg";"ALTA";"alta.bbg";"";"Yes";"";"";"No Better Prices";"Open";"No";"0";"";"No";"";"BBG0: enabled";"FOK Quote";"No";
"30";"alta.int";"ALTA";"alta.int";"";"";"";"";"No Better Prices, Exclude My STP Deals, Don't validate";"Open";"No";"0";"";"No";"";"INT0: alias = ALTA";"Novm.int";"No";
"50";"alta.stp";"ALTA";"alta.stp";"";"";"";"";"";"Indicative";"No";"0";"";"No";"";"";" Not Set ";"No";
"39";"alta1";"ALTA";"alta1";"";"";"";"";"";"Open";"No";"0";"";"Yes";"195.68.152.1;94.198.196.231;192.168.203.9;192.168.203.10;192.168.205.9;192.168.205.10";"";"Clients narrow";"No";
"62";"alta2";"ALTA";"alta2";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"195.68.152.1;94.198.196.231;192.168.203.9;192.168.203.10;192.168.205.9;192.168.205.10";"";"Clients narrow";"No";
"352";"ambk1";"AMBK";"ambk1";"";"Yes";"";"";"";"Indicative";"No";"0";"";"No";"";"";"Clients narrow";"No";
"155";"amer1";"AMER";"amer1";"";"Yes";"";"";"";"Open";"No";"0";"";"Yes";"212.73.73.89;212.73.73.90;185.8.0.205;185.8.0.206;192.168.203.11;192.168.203.12;192.168.203.13;192.168.203.14;192.168.205.11;192.168.205.12;192.168.205.13;192.168.205.14";"a.babayan@ameriabank.com";"Clients far";"No";
"156";"amer2";"AMER";"amer2";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"212.73.73.89;212.73.73.90;185.8.0.205;185.8.0.206;192.168.203.11;192.168.203.12;192.168.203.13;192.168.203.14;192.168.205.11;192.168.205.12;192.168.205.13;192.168.205.14";"b.dalakyan@ameriabank.am";"Clients far";"No";
"157";"amer3";"AMER";"amer3";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"212.73.73.89;212.73.73.90;185.8.0.205;185.8.0.206;192.168.203.11;192.168.203.12;192.168.203.13;192.168.203.14;192.168.205.11;192.168.205.12;192.168.205.13;192.168.205.14";"a.dallakyan@ameriabank.am";"Clients far";"No";
"158";"amer4";"AMER";"amer4";"";"Yes";"";"";"";"Open";"No";"0";"";"Yes";"212.73.73.89;212.73.73.90;185.8.0.205;185.8.0.206;192.168.203.11;192.168.203.12;192.168.203.13;192.168.203.14;192.168.205.11;192.168.205.12;192.168.205.13;192.168.205.14";"d.hakobyan@ameriabank.am";"Clients far";"No";
"159";"amer5";"AMER";"amer5";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"212.73.73.89;212.73.73.90;185.8.0.205;185.8.0.206;192.168.203.11;192.168.203.12;192.168.203.13;192.168.203.14;192.168.205.11;192.168.205.12;192.168.205.13;192.168.205.14";"t.stepanyan@ameriabank.am";"Clients far";"No";
"160";"amer6";"AMER";"amer6";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"212.73.73.89;212.73.73.90;185.8.0.205;185.8.0.206;192.168.203.11;192.168.203.12;192.168.203.13;192.168.203.14;192.168.205.11;192.168.205.12;192.168.205.13;192.168.205.14";"s.sahakyan@ameriabank.am";"Clients far";"No";
"161";"amer7";"AMER";"amer7";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"212.73.73.89;212.73.73.90;185.8.0.205;185.8.0.206;192.168.203.11;192.168.203.12;192.168.203.13;192.168.203.14;192.168.205.11;192.168.205.12;192.168.205.13;192.168.205.14";"e.arzumanyan@ameriabank.am";"Clients far";"No";
"162";"amer8";"AMER";"amer8";"";"No";"";"";"";"Indicative";"No";"0";"";"Yes";"212.73.73.89;212.73.73.90;185.8.0.205;185.8.0.206;192.168.203.11;192.168.203.12;192.168.203.13;192.168.203.14;192.168.205.11;192.168.205.12;192.168.205.13;192.168.205.14";"v.hakobyan@ameriabank.am";"Clients far";"No";
"284";"amer9";"AMER";"amer9";"";"No";"";"";"";"Open";"No";"0";"";"Yes";"212.73.73.89;212.73.73.90;185.8.0.205;185.8.0.206;192.168.203.11;192.168.203.12;192.168.203.13;192.168.203.14;192.168.205.11;192.168.205.12;192.168.205.13;192.168.205.14";"s.virabyan@ameriabank.am";"Clients far";"No";
"415";"amtj1";"AMTJ";"amtj1";"";"Yes";"";"";"";"Indicative";"No";"0";"";"No";"";"";"Clients narrow";"No";
"357";"anlk1";"ANLK";"anlk1";"";"No";"";"";"";"Indicative";"No";"0";"";"No";"";"";"Clients narrow";"No";
